,URL
53,https://www.mycareersfuture.sg/job/risk-data-analyst-cac40e8808a6a0c4112864a0633e3778
54,https://www.mycareersfuture.sg/job/data-scientist-siemens-f76d3f9f081a63cff0d2e4319ad98d58
55,https://www.mycareersfuture.sg/job/big-data-administrator-thatz-international-9564001377ca7f4bf172ab9c1257c691
56,https://www.mycareersfuture.sg/job/data-analyst-sbs-transit-80bfa22b3640dd3083526ddc05ad28d3
57,https://www.mycareersfuture.sg/job/business-analyst-ntt-data-singapore-b29b5f56e77a79168c8a1487562622d6
58,https://www.mycareersfuture.sg/job/operations-executive-data-terminator-fb0622ecea37da9d3ca21ddc0bcbcf7f
59,https://www.mycareersfuture.sg/job/technical-solutions-architecture-manager-ntt-data-singapore-8b16cd763218c340df36e1ffe8d1a0c7
60,https://www.mycareersfuture.sg/job/pre-sales-consultant-tech-data-advanced-solutions-b84f9191c4932448f2a1f70b8d26ded4
61,https://www.mycareersfuture.sg/job/incident-management-engineer-ntt-data-singapore-ac7c3c059adf241d4aabfab399be82f9
62,https://www.mycareersfuture.sg/job/sales-administrator-data-terminator-6ec540a2eab2f12dfb727b07ecd52521
63,https://www.mycareersfuture.sg/job/senior-consultant-application-ncs-a3683af36b036d1bba755d792f3d7dc2
64,https://www.mycareersfuture.sg/job/specialist-digital-commerce-axa-insurance-483df7a769659e89b393d65c3be85c1a
65,https://www.mycareersfuture.sg/job/hydrographic-surveyor-fugro-singapore-marine-7bdc428bb3f01689dbe8a4bad31d7477
66,https://www.mycareersfuture.sg/job/senior-frontend-engineer-dentsu-aegis-network-hub2050-7bf33b283be7dba66552d62df11df47b
67,https://www.mycareersfuture.sg/job/senior-software-engineer-eb55e262e99375e51ab082437a67f6d9
68,https://www.mycareersfuture.sg/job/senior-investment-strategist-jones-lang-lasalle-property-consultants-730ad6b82410724cd354cbd3a93968f1
69,https://www.mycareersfuture.sg/job/customer-support-engineer-cf5d9f87b9809dbd8fc3a9caf79cb2f6
70,https://www.mycareersfuture.sg/job/marketing-automation-platform-developer-sephora-digital-sea-4a0da54565dd16e5d77a81bd22f69a1f
71,https://www.mycareersfuture.sg/job/cyber-security-forensic-expert-thatz-international-d1ca0e0c8b125d0d1226e7d8c45bdb43
72,https://www.mycareersfuture.sg/job/senior-automation-test-engineer-web-ui-optimum-solutions-1ad546d239311a61394de0aef0f640a8
73,https://www.mycareersfuture.sg/job/authorization-associate-manager-international-baccalaureate-organization-a12692d9158cbb009950d477216db072
74,https://www.mycareersfuture.sg/job/automation-test-engineer-web-ui-automation-optimum-solutions-dc17671160f88b33ff734966bb146fc3
75,https://www.mycareersfuture.sg/job/senior-digital-analyst-comwerks-b71e7c5ba4307e5759b2241b01333026
76,https://www.mycareersfuture.sg/job/actimize-developer-mphasis-2687a0a84caf4e6095d2bcf36773c208
77,https://www.mycareersfuture.sg/job/actuarial-specialist-eev-reporting-prudential-assurance-company-singapore-a7c3cccd05babaae099e10213e0a767f
78,https://www.mycareersfuture.sg/job/director-marketing-digital-products-bam-asia-entertainment-network-16d85e5523bfc499cce3853b99bb8ef8
79,https://www.mycareersfuture.sg/job/senior-piping-material-eden-engineering-construction-2dfbae04119ea126c65fbf72037acd6b
80,https://www.mycareersfuture.sg/job/analyst-senior-analyst-ipsos-2c0bb901e0a4f4e9fcc8396cc97f257d
81,https://www.mycareersfuture.sg/job/research-director-ipsos-565787f186470089f20eab44943e27ef
82,https://www.mycareersfuture.sg/job/analytics-architect-icon-consulting-group-440ccbcb6320596315d08cbc26e03cc1
83,https://www.mycareersfuture.sg/job/advisory-associate-senior-rsm-corporate-advisory-3a6684638fb9137584b29dcdff5759a9
84,https://www.mycareersfuture.sg/job/senior-backend-engineer-manpower-staffing-services-96bd91f15d178076670646e3367fec21
85,https://www.mycareersfuture.sg/job/network-engineer-consultant-mpls-htz-resources-52efabc2ef54539166f2066dc7e88a43
86,https://www.mycareersfuture.sg/job/research-assistant-national-university-singapore-cfb428ad14a7a8c3c01f4ba3a8b1f0bf
87,https://www.mycareersfuture.sg/job/system-administrator-maxim-integrated-products-c34a14eec0d7402b9cc81e371fa78e0d
88,https://www.mycareersfuture.sg/job/head-social-media-marketing-analytics-youtube-singapore-google-asia-pacific-9e6e959bd046e77581d858644343fa75
89,https://www.mycareersfuture.sg/job/manager-apac-gfk-asia-f1f5a87d624461b9b98bc9829f94740f
90,https://www.mycareersfuture.sg/job/research-assistant-nanyang-technological-university-caacd5723685b666d8cb09947a4b64ac
91,https://www.mycareersfuture.sg/job/senior-manager-manager-jtc-corporation-2f858e361a3aeb568c177164a38c28b5
92,https://www.mycareersfuture.sg/job/accounting-finance-admin-hays-specialist-recruitment-8dca8a204010038114e6041614eac241
93,https://www.mycareersfuture.sg/job/hiring-application-consultant-geniegoo-1cff79f5d914c47a1e204706ac9b68c8
94,https://www.mycareersfuture.sg/job/business-consultant-thakral-brothers-0ad207979005a788360f1a117ca63100
95,https://www.mycareersfuture.sg/job/shipping-executive-mnc-central-5-days-week-max-5500-career-trend-68aa9dd14e0ed2f64f178ea20f4b09f1
96,https://www.mycareersfuture.sg/job/business-analyst-infosys-consulting-6595b498ef2aac460a1d26c3fd68097d
97,https://www.mycareersfuture.sg/job/senior-sap-cs-sd-consultant-abeam-consulting-6b8ff3e1d15bbb995915ebdba9e58b61
98,https://www.mycareersfuture.sg/job/talent-acquisition-partner-honestbee-f50787b7ddad89a5a8e64e2258600652
99,https://www.mycareersfuture.sg/job/project-controller-arcadis-singapore-d6b3444da74c6b81f91b455c4d9eba35
100,https://www.mycareersfuture.sg/job/hr-coordinator-vships-asia-group-986444025a15cb2239583fa7bc034909
101,https://www.mycareersfuture.sg/job/internal-auditor-etiqa-insurance-f4b3946c0bd633875f4f9551c54bbe23
102,https://www.mycareersfuture.sg/job/manager-fw-hospitality-management-e7d55501b6fc618598f1f2313bc409a3
103,https://www.mycareersfuture.sg/job/human-resource-executive-3i-infotech-asia-pacific-3ca4371a258a8665a685b9a7ad717d9b
104,https://www.mycareersfuture.sg/job/research-assistant-national-university-singapore-f36fb285fd47b7dbf5881366fefe8320
105,https://www.mycareersfuture.sg/job/chief-technical-officer-singapore-shell-employees-union-co-operative-687b83c27a65fcb16bb2f746c44ebc00
106,https://www.mycareersfuture.sg/job/assistant-facility-engineer-canatec-f318e8953f03b29d0ee393cd9c0abe6f
107,https://www.mycareersfuture.sg/job/operations-manager-sagar-e1c7277a6f85c6b5a175432da4e1bff9
108,https://www.mycareersfuture.sg/job/performance-analyst-call-centre-gmp-recruitment-services-2067065c9aa68a2d5f4e07307fe280a5
109,https://www.mycareersfuture.sg/job/energy-efficiency-consultant-lj-energy-7b1379fb0e50b16759d45702712e4c0d
110,https://www.mycareersfuture.sg/job/senior-software-consultant-tescom-software-systems-testing-ddc8058d975427a57258108cd92c1252
111,https://www.mycareersfuture.sg/job/head-algorithm-development-elsy-089c0b80780b95fa3a1ec01368d43bb7
112,https://www.mycareersfuture.sg/job/fiori-developer-mtc-global-solutions-f8d46f265b3709c69c0bc70ae09db9fa
113,https://www.mycareersfuture.sg/job/abap-consultant-mtc-global-solutions-6d09c2c14d53ea1e45c4912e0d496ccf
114,https://www.mycareersfuture.sg/job/document-delivery-rider-red-phoenix-courier-singapore-46525e759fb0da1cf04f106aa7019f15
115,https://www.mycareersfuture.sg/job/l2-front-office-support-mphasis-60ce3f0ce16a64982b5d09c90f0d04c2
116,https://www.mycareersfuture.sg/job/information-security-soc-team-lead-avensys-consulting-a9652d39615ae4bfbfbe3269f59efc76
117,https://www.mycareersfuture.sg/job/software-engineer-sensetime-international-cbfccdf2f2cada14f763af6b605b3218
118,https://www.mycareersfuture.sg/job/associate-media-manager-media-manager-senior-media-manager-carat-media-services-singapore-c3aa4fd1442cc8ade751d8c46f8c4748
119,https://www.mycareersfuture.sg/job/admin-support-assistant-mini-environment-service-18f46c6518de3616e71f0456f536dd72
120,https://www.mycareersfuture.sg/job/training-development-intern-rht-management-services-7b73612bba4edd447625555ef80a1d07
121,https://www.mycareersfuture.sg/job/assistant-manager-digital-marketing-china-navigation-company-70c66052b5dc082ec351e55457b44f3f
122,https://www.mycareersfuture.sg/job/lead-database-administrator-infrastructure-database-department-nanyang-technological-university-7d981e2504fd524b670295e6491d2f6d
123,https://www.mycareersfuture.sg/job/threat-intelligence-engineer-apple-south-asia-247846b6f367e207269846354fe8c232
124,https://www.mycareersfuture.sg/job/sales-coordinator-cum-secretary-f356f4e64eccc1e26b3ab1c75713a473
125,https://www.mycareersfuture.sg/job/analyst-job-mufg-fund-services-179b0613bb3aa562aebd93145b08fa8e
126,https://www.mycareersfuture.sg/job/senior-executive-business-development-globibo-97f05e357dc10d88eaaf0d176c3faa72
127,https://www.mycareersfuture.sg/job/accounts-executive-ocean-sourcing-eb3b306475ed07c87c7bedc49ce2a1bd
128,https://www.mycareersfuture.sg/job/director-huawei-international-d60fb3a5b5069ec77c7b7d8847b240a0
129,https://www.mycareersfuture.sg/job/engineering-assistant-qa-machspeed-human-resources-6ddc02aba5e990bcea655b46bc52a91f
130,https://www.mycareersfuture.sg/job/etl-tech-lead-tata-consultancy-services-asia-pacific-f3a4815c68088fed7ea9c9136e262e88
131,https://www.mycareersfuture.sg/job/digital-manager-bradbury-consulting-174514336287beb313771d1aa09dc6cf
132,https://www.mycareersfuture.sg/job/abap-edi-consultant-versant-systems-d519228d9559f8eaa353b147be0314b5
133,https://www.mycareersfuture.sg/job/gf-finance-analyst-vice-president-citibank-na-d302acfd10c707edce5e2d03128cc405
134,https://www.mycareersfuture.sg/job/accounts-officer-machspeed-human-resources-3e4551ff55f24ddcae79ce3a59c70f36
135,https://www.mycareersfuture.sg/job/production-planner-machspeed-human-resources-6f6dcf2baa3b4a810d591a622d7ed7a1
